Time,Source,Destination,Length
12.968979,104.198.218.190,10.1.10.11,166
13.013125,104.198.218.190,10.1.10.11,314
13.335529,104.198.218.190,10.1.10.11,171
13.38413,104.198.218.190,10.1.10.11,319
13.433189,104.198.218.190,10.1.10.11,246
13.573502,104.198.218.190,10.1.10.11,173
13.622468,104.198.218.190,10.1.10.11,325
13.690899,104.198.218.190,10.1.10.11,180
13.734864,104.198.218.190,10.1.10.11,125
13.778339,104.198.218.190,10.1.10.11,254
14.183983,104.198.218.190,10.1.10.11,180
14.228063,104.198.218.190,10.1.10.11,130
14.435382,104.198.218.190,10.1.10.11,180
14.4845,104.198.218.190,10.1.10.11,339
14.535483,104.198.218.190,10.1.10.11,180
14.580134,104.198.218.190,10.1.10.11,135
14.956826,104.198.218.190,10.1.10.11,180
15.001086,104.198.218.190,10.1.10.11,139
15.04466,104.198.218.190,10.1.10.11,481
15.11168,104.198.218.190,10.1.10.11,200
15.165542,104.198.218.190,10.1.10.11,123
15.283233,104.198.218.190,10.1.10.11,200
15.325971,104.198.218.190,10.1.10.11,128
15.384278,104.198.218.190,10.1.10.11,200
15.428101,104.198.218.190,10.1.10.11,128
15.564459,104.198.218.190,10.1.10.11,200
15.608147,104.198.218.190,10.1.10.11,353
15.654823,104.198.218.190,10.1.10.11,277
15.720374,104.198.218.190,10.1.10.11,208
15.768397,104.198.218.190,10.1.10.11,125
15.816259,104.198.218.190,10.1.10.11,280
15.859955,104.198.218.190,10.1.10.11,507
15.977388,104.198.218.190,10.1.10.11,215
16.022951,104.198.218.190,10.1.10.11,355
16.233246,104.198.218.190,10.1.10.11,215
16.280296,104.198.218.190,10.1.10.11,132
16.329941,104.198.218.190,10.1.10.11,293
16.47082,104.198.218.190,10.1.10.11,215
16.516506,104.198.218.190,10.1.10.11,133
17.012541,104.198.218.190,10.1.10.11,233
17.058663,104.198.218.190,10.1.10.11,117
17.103203,104.198.218.190,10.1.10.11,301
17.266471,104.198.218.190,10.1.10.11,233
17.310549,104.198.218.190,10.1.10.11,126
17.362619,104.198.218.190,10.1.10.11,304
17.423743,104.198.218.190,10.1.10.11,233
17.470319,104.198.218.190,10.1.10.11,131
17.514792,104.198.218.190,10.1.10.11,564
17.588005,104.198.218.190,10.1.10.11,235
17.636602,104.198.218.190,10.1.10.11,129
17.774088,104.198.218.190,10.1.10.11,235
17.820238,104.198.218.190,10.1.10.11,132
18.075654,104.198.218.190,10.1.10.11,235
18.123671,104.198.218.190,10.1.10.11,394
18.177614,104.198.218.190,10.1.10.11,240
18.222973,104.198.218.190,10.1.10.11,130
18.266879,104.198.218.190,10.1.10.11,318
18.357236,104.198.218.190,10.1.10.11,249
18.40219,104.198.218.190,10.1.10.11,121
18.615129,104.198.218.190,10.1.10.11,249
18.660026,104.198.218.190,10.1.10.11,129
18.784973,104.198.218.190,10.1.10.11,249
18.838037,104.198.218.190,10.1.10.11,126
18.910857,104.198.218.190,10.1.10.11,249
18.954011,104.198.218.190,10.1.10.11,123
19.041718,104.198.218.190,10.1.10.11,249
19.086312,104.198.218.190,10.1.10.11,132
19.131048,104.198.218.190,10.1.10.11,331
19.176169,104.198.218.190,10.1.10.11,609
19.220332,104.198.218.190,10.1.10.11,332
19.376198,104.198.218.190,10.1.10.11,271
19.642263,104.198.218.190,10.1.10.11,271
19.690465,104.198.218.190,10.1.10.11,125
19.977587,104.198.218.190,10.1.10.11,271
20.026068,104.198.218.190,10.1.10.11,131
20.073176,104.198.218.190,10.1.10.11,271
20.121436,104.198.218.190,10.1.10.11,430
20.246899,104.198.218.190,10.1.10.11,274
20.293993,104.198.218.190,10.1.10.11,132
20.340456,104.198.218.190,10.1.10.11,356
20.40214,104.198.218.190,10.1.10.11,274
20.448909,104.198.218.190,10.1.10.11,139
20.510017,104.198.218.190,10.1.10.11,282
20.557101,104.198.218.190,10.1.10.11,129
20.668975,104.198.218.190,10.1.10.11,288
20.714301,104.198.218.190,10.1.10.11,426
20.846736,104.198.218.190,10.1.10.11,291
20.892438,104.198.218.190,10.1.10.11,428
20.936282,104.198.218.190,10.1.10.11,678
21.01466,104.198.218.190,10.1.10.11,291
21.063862,104.198.218.190,10.1.10.11,129
21.108899,104.198.218.190,10.1.10.11,687
21.267588,104.198.218.190,10.1.10.11,291
21.310767,104.198.218.190,10.1.10.11,130
21.866072,104.198.218.190,10.1.10.11,306
22.136662,104.198.218.190,10.1.10.11,306
22.180251,104.198.218.190,10.1.10.11,122
22.364011,104.198.218.190,10.1.10.11,306
22.412594,104.198.218.190,10.1.10.11,455
22.461647,104.198.218.190,10.1.10.11,306
22.50671,104.198.218.190,10.1.10.11,132
22.710436,104.198.218.190,10.1.10.11,313
22.758945,104.198.218.190,10.1.10.11,125
22.808039,104.198.218.190,10.1.10.11,390
23.056606,104.198.218.190,10.1.10.11,323
23.100193,104.198.218.190,10.1.10.11,122
23.496145,104.198.218.190,10.1.10.11,323
23.540246,104.198.218.190,10.1.10.11,126
23.644638,104.198.218.190,10.1.10.11,323
23.690314,104.198.218.190,10.1.10.11,127
23.734391,104.198.218.190,10.1.10.11,396
23.868268,104.198.218.190,10.1.10.11,330
23.914626,104.198.218.190,10.1.10.11,121
24.14268,104.198.218.190,10.1.10.11,330
24.19268,104.198.218.190,10.1.10.11,120
24.694214,104.198.218.190,10.1.10.11,330
24.738993,104.198.218.190,10.1.10.11,131
24.7826,104.198.218.190,10.1.10.11,408
24.850259,104.198.218.190,10.1.10.11,330
24.897806,104.198.218.190,10.1.10.11,136
24.942487,104.198.218.190,10.1.10.11,1144
25.091163,104.198.218.190,10.1.10.11,346
25.134259,104.198.218.190,10.1.10.11,127
25.194133,104.198.218.190,10.1.10.11,346
25.238414,104.198.218.190,10.1.10.11,130
25.429528,104.198.218.190,10.1.10.11,346
25.474223,104.198.218.190,10.1.10.11,134
25.52967,104.198.218.190,10.1.10.11,351
25.580193,104.198.218.190,10.1.10.11,129
25.626683,104.198.218.190,10.1.10.11,429
25.670012,104.198.218.190,10.1.10.11,429
25.788749,104.198.218.190,10.1.10.11,361
25.836535,104.198.218.190,10.1.10.11,122
25.951859,104.198.218.190,10.1.10.11,361
26.000502,104.198.218.190,10.1.10.11,132
26.063224,104.198.218.190,10.1.10.11,361
26.106599,104.198.218.190,10.1.10.11,523
26.152609,104.198.218.190,10.1.10.11,442
26.225583,104.198.218.190,10.1.10.11,368
26.27261,104.198.218.190,10.1.10.11,521
26.318821,104.198.218.190,10.1.10.11,447
26.378639,104.198.218.190,10.1.10.11,368
26.427303,104.198.218.190,10.1.10.11,532
26.475958,104.198.218.190,10.1.10.11,451
26.551407,104.198.218.190,10.1.10.11,378
26.595146,104.198.218.190,10.1.10.11,130
26.720029,104.198.218.190,10.1.10.11,378
26.766321,104.198.218.190,10.1.10.11,134
26.810751,104.198.218.190,10.1.10.11,1268
26.974113,104.198.218.190,10.1.10.11,390
27.02257,104.198.218.190,10.1.10.11,123
27.069424,104.198.218.190,10.1.10.11,462
27.221473,104.198.218.190,10.1.10.11,390
27.264441,104.198.218.190,10.1.10.11,129
27.313199,104.198.218.190,10.1.10.11,390
27.35838,104.198.218.190,10.1.10.11,546
27.402675,104.198.218.190,10.1.10.11,468
27.497147,104.198.218.190,10.1.10.11,398
27.540287,104.198.218.190,10.1.10.11,127
27.691376,104.198.218.190,10.1.10.11,401
27.734506,104.198.218.190,10.1.10.11,127
27.780348,104.198.218.190,10.1.10.11,896
27.898457,104.198.218.190,10.1.10.11,401
27.946847,104.198.218.190,10.1.10.11,552
27.994925,104.198.218.190,10.1.10.11,407
28.040307,104.198.218.190,10.1.10.11,129
28.084554,104.198.218.190,10.1.10.11,482
28.163379,104.198.218.190,10.1.10.11,410
28.208624,104.198.218.190,10.1.10.11,566
28.328442,104.198.218.190,10.1.10.11,410
28.374199,104.198.218.190,10.1.10.11,135
28.440255,104.198.218.190,10.1.10.11,413
28.484321,104.198.218.190,10.1.10.11,132
28.53063,104.198.218.190,10.1.10.11,936
28.589431,104.198.218.190,10.1.10.11,421
28.636671,104.198.218.190,10.1.10.11,129
28.763977,104.198.218.190,10.1.10.11,426
28.810507,104.198.218.190,10.1.10.11,126
28.862615,104.198.218.190,10.1.10.11,430
28.910763,104.198.218.190,10.1.10.11,122
28.963864,104.198.218.190,10.1.10.11,948
29.027447,104.198.218.190,10.1.10.11,430
29.073083,104.198.218.190,10.1.10.11,126
29.116544,104.198.218.190,10.1.10.11,505
29.162816,104.198.218.190,10.1.10.11,505
29.3652,104.198.218.190,10.1.10.11,435
29.412606,104.198.218.190,10.1.10.11,130
29.538458,104.198.218.190,10.1.10.11,435
29.585296,104.198.218.190,10.1.10.11,133
29.632765,104.198.218.190,10.1.10.11,514
30.052683,104.198.218.190,10.1.10.11,444
30.098401,104.198.218.190,10.1.10.11,128
30.145466,104.198.218.190,10.1.10.11,518
30.215107,104.198.218.190,10.1.10.11,453
30.26235,104.198.218.190,10.1.10.11,591
30.309113,104.198.218.190,10.1.10.11,524
30.39324,104.198.218.190,10.1.10.11,453
30.437189,104.198.218.190,10.1.10.11,128
30.63682,104.198.218.190,10.1.10.11,453
30.680292,104.198.218.190,10.1.10.11,133
30.732156,104.198.218.190,10.1.10.11,453
30.784925,104.198.218.190,10.1.10.11,134
30.831567,104.198.218.190,10.1.10.11,534
31.139171,104.198.218.190,10.1.10.11,466
31.185465,104.198.218.190,10.1.10.11,605
31.254817,104.198.218.190,10.1.10.11,466
31.29829,104.198.218.190,10.1.10.11,129
31.342901,104.198.218.190,10.1.10.11,542
31.390567,104.198.218.190,10.1.10.11,541
31.435123,104.198.218.190,10.1.10.11,541
31.480201,104.198.218.190,10.1.10.11,542
31.589723,104.198.218.190,10.1.10.11,473
31.635351,104.198.218.190,10.1.10.11,126
31.679341,104.198.218.190,10.1.10.11,545
31.746653,104.198.218.190,10.1.10.11,476
31.793036,104.198.218.190,10.1.10.11,126
32.026523,104.198.218.190,10.1.10.11,481
32.0711,104.198.218.190,10.1.10.11,121
32.116004,104.198.218.190,10.1.10.11,553
32.29131,104.198.218.190,10.1.10.11,487
32.334596,104.198.218.190,10.1.10.11,120
32.684816,104.198.218.190,10.1.10.11,492
32.857089,104.198.218.190,10.1.10.11,492
32.902541,104.198.218.190,10.1.10.11,127
32.952316,104.198.218.190,10.1.10.11,492
32.996312,104.198.218.190,10.1.10.11,132
33.198976,104.198.218.190,10.1.10.11,492
33.248852,104.198.218.190,10.1.10.11,134
33.371409,104.198.218.190,10.1.10.11,504
33.414478,104.198.218.190,10.1.10.11,122
33.461406,104.198.218.190,10.1.10.11,575
33.631522,104.198.218.190,10.1.10.11,504
33.675032,104.198.218.190,10.1.10.11,128
33.719111,104.198.218.190,10.1.10.11,579
33.793134,104.198.218.190,10.1.10.11,511
33.837393,104.198.218.190,10.1.10.11,122
33.968118,104.198.218.190,10.1.10.11,511
34.014258,104.198.218.190,10.1.10.11,655
34.06317,104.198.218.190,10.1.10.11,586
34.235725,104.198.218.190,10.1.10.11,518
34.280245,104.198.218.190,10.1.10.11,122
34.467086,104.198.218.190,10.1.10.11,518
34.512558,104.198.218.190,10.1.10.11,130
34.580701,104.198.218.190,10.1.10.11,525
34.625226,104.198.218.190,10.1.10.11,123
34.738976,104.198.218.190,10.1.10.11,525
34.784168,104.198.218.190,10.1.10.11,128
35.085014,104.198.218.190,10.1.10.11,533
35.129092,104.198.218.190,10.1.10.11,120
35.336027,104.198.218.190,10.1.10.11,538
35.766697,104.198.218.190,10.1.10.11,538
35.812497,104.198.218.190,10.1.10.11,121
35.93619,104.198.218.190,10.1.10.11,538
35.982671,104.198.218.190,10.1.10.11,677
36.029734,104.198.218.190,10.1.10.11,607
36.115977,104.198.218.190,10.1.10.11,538
36.161397,104.198.218.190,10.1.10.11,123
36.378107,104.198.218.190,10.1.10.11,538
36.422813,104.198.218.190,10.1.10.11,130
36.695042,104.198.218.190,10.1.10.11,546
36.741631,104.198.218.190,10.1.10.11,124
37.275124,104.198.218.190,10.1.10.11,555
37.319167,104.198.218.190,10.1.10.11,126
37.385038,104.198.218.190,10.1.10.11,555
37.430651,104.198.218.190,10.1.10.11,130
37.496859,104.198.218.190,10.1.10.11,555
37.541922,104.198.218.190,10.1.10.11,132
37.645556,104.198.218.190,10.1.10.11,555
37.700733,104.198.218.190,10.1.10.11,1282
37.746112,104.198.218.190,10.1.10.11,638
37.838335,104.198.218.190,10.1.10.11,555
37.886053,104.198.218.190,10.1.10.11,727
37.931881,104.198.218.190,10.1.10.11,637
37.999247,104.198.218.190,10.1.10.11,555
38.043399,104.198.218.190,10.1.10.11,142
38.245767,104.198.218.190,10.1.10.11,555
38.29276,104.198.218.190,10.1.10.11,733
38.459543,104.198.218.190,10.1.10.11,566
38.506596,104.198.218.190,10.1.10.11,736
38.592634,104.198.218.190,10.1.10.11,582
38.640231,104.198.218.190,10.1.10.11,123
38.685483,104.198.218.190,10.1.10.11,655
38.843062,104.198.218.190,10.1.10.11,582
38.890127,104.198.218.190,10.1.10.11,733
38.939969,104.198.218.190,10.1.10.11,660
39.058354,104.198.218.190,10.1.10.11,590
39.105448,104.198.218.190,10.1.10.11,734
39.200689,104.198.218.190,10.1.10.11,590
39.2492,104.198.218.190,10.1.10.11,129
39.292753,104.198.218.190,10.1.10.11,667
39.425696,104.198.218.190,10.1.10.11,590
39.469313,104.198.218.190,10.1.10.11,132
39.512767,104.198.218.190,10.1.10.11,668
39.613613,104.198.218.190,10.1.10.11,594
39.663315,104.198.218.190,10.1.10.11,130
39.73608,104.198.218.190,10.1.10.11,594
39.781673,104.198.218.190,10.1.10.11,133
39.830955,104.198.218.190,10.1.10.11,672
39.874837,104.198.218.190,10.1.10.11,676
39.92104,104.198.218.190,10.1.10.11,675
40.011721,104.198.218.190,10.1.10.11,603
40.055233,104.198.218.190,10.1.10.11,749
40.099122,104.198.218.190,10.1.10.11,672
40.143252,104.198.218.190,10.1.10.11,1308
40.296561,104.198.218.190,10.1.10.11,603
40.340987,104.198.218.190,10.1.10.11,125
40.455523,104.198.218.190,10.1.10.11,607
40.503884,104.198.218.190,10.1.10.11,132
40.560565,104.198.218.190,10.1.10.11,607
40.605195,104.198.218.190,10.1.10.11,135
40.650943,104.198.218.190,10.1.10.11,1323
40.720718,104.198.218.190,10.1.10.11,613
40.767509,104.198.218.190,10.1.10.11,130
40.810901,104.198.218.190,10.1.10.11,692
41.000694,104.198.218.190,10.1.10.11,624
41.045701,104.198.218.190,10.1.10.11,122
41.091555,104.198.218.190,10.1.10.11,696
41.494604,104.198.218.190,10.1.10.11,624
41.540942,104.198.218.190,10.1.10.11,131
41.640099,104.198.218.190,10.1.10.11,624
41.6861,104.198.218.190,10.1.10.11,126
42.170494,104.198.218.190,10.1.10.11,635
42.257118,104.198.218.190,10.1.10.11,624
42.300995,104.198.218.190,10.1.10.11,142
42.526085,104.198.218.190,10.1.10.11,624
42.571744,104.198.218.190,10.1.10.11,804
42.861279,104.198.218.190,10.1.10.11,651
45.155829,104.198.218.190,10.1.10.11,651
45.206043,104.198.218.190,10.1.10.11,122
45.282784,104.198.218.190,10.1.10.11,651
45.326774,104.198.218.190,10.1.10.11,123
45.478089,104.198.218.190,10.1.10.11,651
45.522188,104.198.218.190,10.1.10.11,134
45.575565,104.198.218.190,10.1.10.11,1406
45.623312,104.198.218.190,10.1.10.11,1417
45.853358,104.198.218.190,10.1.10.11,651
45.89897,104.198.218.190,10.1.10.11,133
45.942864,104.198.218.190,10.1.10.11,733
46.109735,104.198.218.190,10.1.10.11,651
46.158008,104.198.218.190,10.1.10.11,146
46.269387,104.198.218.190,10.1.10.11,651
46.312765,104.198.218.190,10.1.10.11,143
46.369341,104.198.218.190,10.1.10.11,651
46.415619,104.198.218.190,10.1.10.11,149
46.458989,104.198.218.190,10.1.10.11,746
46.625488,104.198.218.190,10.1.10.11,651
46.669338,104.198.218.190,10.1.10.11,150
46.712948,104.198.218.190,10.1.10.11,744
46.75724,104.198.218.190,10.1.10.11,747
46.880002,104.198.218.190,10.1.10.11,651
46.923275,104.198.218.190,10.1.10.11,153
46.967177,104.198.218.190,10.1.10.11,1449
47.032535,104.198.218.190,10.1.10.11,651
47.081185,104.198.218.190,10.1.10.11,855
47.20951,104.198.218.190,10.1.10.11,676
47.253329,104.198.218.190,10.1.10.11,130
47.297411,104.198.218.190,10.1.10.11,753
47.556572,104.198.218.190,10.1.10.11,686
47.601403,104.198.218.190,10.1.10.11,126
47.647016,104.198.218.190,10.1.10.11,753
47.691075,104.198.218.190,10.1.10.11,762
47.770856,104.198.218.190,10.1.10.11,686
47.815292,104.198.218.190,10.1.10.11,134
47.859101,104.198.218.190,10.1.10.11,764
47.898623,104.198.218.190,10.1.10.11,1474
47.908098,104.198.218.190,10.1.10.11,61
47.985613,104.198.218.190,10.1.10.11,692
48.031277,104.198.218.190,10.1.10.11,131
48.075426,104.198.218.190,10.1.10.11,771
48.225743,104.198.218.190,10.1.10.11,697
48.273081,104.198.218.190,10.1.10.11,128
48.322401,104.198.218.190,10.1.10.11,775
48.506669,104.198.218.190,10.1.10.11,697
48.551181,104.198.218.190,10.1.10.11,134
48.582194,104.198.218.190,10.1.10.11,1474
48.594833,104.198.218.190,10.1.10.11,82
48.693919,104.198.218.190,10.1.10.11,710
48.737537,104.198.218.190,10.1.10.11,122
48.789591,104.198.218.190,10.1.10.11,782
48.848522,104.198.218.190,10.1.10.11,710
48.897569,104.198.218.190,10.1.10.11,125
49.117598,104.198.218.190,10.1.10.11,710
49.160932,104.198.218.190,10.1.10.11,130
49.271456,104.198.218.190,10.1.10.11,710
49.317469,104.198.218.190,10.1.10.11,134
49.361895,104.198.218.190,10.1.10.11,790
49.425703,104.198.218.190,10.1.10.11,720
49.443057,104.198.218.190,10.1.10.11,1474
49.471082,104.198.218.190,10.1.10.11,189
49.515146,104.198.218.190,10.1.10.11,795
49.60338,104.198.218.190,10.1.10.11,720
49.647164,104.198.218.190,10.1.10.11,130
49.691807,104.198.218.190,10.1.10.11,796
49.772859,104.198.218.190,10.1.10.11,725
49.817243,104.198.218.190,10.1.10.11,128
49.856971,104.198.218.190,10.1.10.11,1474
49.864995,104.198.218.190,10.1.10.11,128
49.92921,104.198.218.190,10.1.10.11,729
49.97296,104.198.218.190,10.1.10.11,129
50.110813,104.198.218.190,10.1.10.11,729
50.155101,104.198.218.190,10.1.10.11,887
50.198859,104.198.218.190,10.1.10.11,809
50.282719,104.198.218.190,10.1.10.11,735
50.329186,104.198.218.190,10.1.10.11,883
50.375597,104.198.218.190,10.1.10.11,812
50.536376,104.198.218.190,10.1.10.11,743
50.581092,104.198.218.190,10.1.10.11,123
50.630887,104.198.218.190,10.1.10.11,743
50.67464,104.198.218.190,10.1.10.11,127
50.724657,104.198.218.190,10.1.10.11,743
50.769229,104.198.218.190,10.1.10.11,129
50.871944,104.198.218.190,10.1.10.11,748
50.917009,104.198.218.190,10.1.10.11,123
50.963436,104.198.218.190,10.1.10.11,820
51.130795,104.198.218.190,10.1.10.11,751
51.17915,104.198.218.190,10.1.10.11,897
51.393123,104.198.218.190,10.1.10.11,756
51.437043,104.198.218.190,10.1.10.11,127
51.478346,104.198.218.190,10.1.10.11,1474
51.48427,104.198.218.190,10.1.10.11,178
51.550981,104.198.218.190,10.1.10.11,759
51.597335,104.198.218.190,10.1.10.11,902
51.735015,104.198.218.190,10.1.10.11,762
51.778937,104.198.218.190,10.1.10.11,124
51.843198,104.198.218.190,10.1.10.11,762
51.884029,104.198.218.190,10.1.10.11,1474
51.88945,104.198.218.190,10.1.10.11,275
51.994428,104.198.218.190,10.1.10.11,762
52.041067,104.198.218.190,10.1.10.11,135
52.161532,104.198.218.190,10.1.10.11,771
52.20589,104.198.218.190,10.1.10.11,916
52.435489,104.198.218.190,10.1.10.11,779
52.480706,104.198.218.190,10.1.10.11,121
52.539619,104.198.218.190,10.1.10.11,779
52.583359,104.198.218.190,10.1.10.11,919
52.648496,104.198.218.190,10.1.10.11,852
52.773142,104.198.218.190,10.1.10.11,782
52.821316,104.198.218.190,10.1.10.11,128
52.865207,104.198.218.190,10.1.10.11,858
52.933746,104.198.218.190,10.1.10.11,782
52.982423,104.198.218.190,10.1.10.11,932
53.091982,104.198.218.190,10.1.10.11,788
53.137324,104.198.218.190,10.1.10.11,927
53.181642,104.198.218.190,10.1.10.11,859
53.336798,104.198.218.190,10.1.10.11,791
53.381391,104.198.218.190,10.1.10.11,125
53.445787,104.198.218.190,10.1.10.11,791
53.489764,104.198.218.190,10.1.10.11,128
53.538904,104.198.218.190,10.1.10.11,866
53.687168,104.198.218.190,10.1.10.11,798
53.736982,104.198.218.190,10.1.10.11,122
53.799714,104.198.218.190,10.1.10.11,798
53.843173,104.198.218.190,10.1.10.11,125
53.88735,104.198.218.190,10.1.10.11,871
53.898187,104.198.218.190,10.1.10.11,1474
53.932002,104.198.218.190,10.1.10.11,268
53.976429,104.198.218.190,10.1.10.11,801
54.024008,104.198.218.190,10.1.10.11,948
54.07418,104.198.218.190,10.1.10.11,878
54.135722,104.198.218.190,10.1.10.11,801
54.179035,104.198.218.190,10.1.10.11,131
54.341111,104.198.218.190,10.1.10.11,801
54.38512,104.198.218.190,10.1.10.11,957
54.42952,104.198.218.190,10.1.10.11,883
54.475577,104.198.218.190,10.1.10.11,885
54.561061,104.198.218.190,10.1.10.11,810
54.605086,104.198.218.190,10.1.10.11,134
54.722345,104.198.218.190,10.1.10.11,810
54.765959,104.198.218.190,10.1.10.11,136
54.911643,104.198.218.190,10.1.10.11,817
54.955047,104.198.218.190,10.1.10.11,129
54.972119,104.198.218.190,10.1.10.11,1474
54.999097,104.198.218.190,10.1.10.11,319
55.400159,104.198.218.190,10.1.10.11,817
55.447075,104.198.218.190,10.1.10.11,141
55.49143,104.198.218.190,10.1.10.11,905
55.563685,104.198.218.190,10.1.10.11,837
55.613164,104.198.218.190,10.1.10.11,975
55.684458,104.198.218.190,10.1.10.11,837
55.727158,104.198.218.190,10.1.10.11,128
56.074423,104.198.218.190,10.1.10.11,837
56.119024,104.198.218.190,10.1.10.11,131
56.261345,104.198.218.190,10.1.10.11,850
56.305322,104.198.218.190,10.1.10.11,124
56.350416,104.198.218.190,10.1.10.11,919
56.979203,104.198.218.190,10.1.10.11,858
57.061378,104.198.218.190,10.1.10.11,858
57.105867,104.198.218.190,10.1.10.11,120
57.174449,104.198.218.190,10.1.10.11,858
57.218161,104.198.218.190,10.1.10.11,123
57.261495,104.198.218.190,10.1.10.11,927
57.30552,104.198.218.190,10.1.10.11,927
57.34928,104.198.218.190,10.1.10.11,930
57.457353,104.198.218.190,10.1.10.11,858
57.50189,104.198.218.190,10.1.10.11,1005
57.707177,104.198.218.190,10.1.10.11,858
57.751815,104.198.218.190,10.1.10.11,134
57.797551,104.198.218.190,10.1.10.11,938
57.968166,104.198.218.190,10.1.10.11,858
58.011841,104.198.218.190,10.1.10.11,137
58.025359,104.198.218.190,10.1.10.11,85
6.342104,172.217.6.238,10.1.10.11,178
6.356648,172.217.6.238,10.1.10.11,178
6.374182,172.217.6.238,10.1.10.11,123
6.374185,172.217.6.238,10.1.10.11,92
6.374185,172.217.6.238,10.1.10.11,300
6.374187,172.217.6.238,10.1.10.11,127
6.374188,172.217.6.238,10.1.10.11,100
6.382661,172.217.6.238,10.1.10.11,123
6.407203,172.217.6.238,10.1.10.11,92
6.409697,172.217.6.238,10.1.10.11,105
6.409699,172.217.6.238,10.1.10.11,127
6.4097,172.217.6.238,10.1.10.11,100
56.593865,172.217.6.238,10.1.10.11,110
56.593867,172.217.6.238,10.1.10.11,127
56.593868,172.217.6.238,10.1.10.11,100
56.624548,172.217.6.238,10.1.10.11,105
56.62455,172.217.6.238,10.1.10.11,127
56.62455,172.217.6.238,10.1.10.11,100
56.654702,172.217.6.238,10.1.10.11,105
56.655358,172.217.6.238,10.1.10.11,127
56.65536,172.217.6.238,10.1.10.11,100
56.676984,172.217.6.238,10.1.10.11,105
56.676985,172.217.6.238,10.1.10.11,127
56.677464,172.217.6.238,10.1.10.11,100
6.282087,10.1.10.11,104.198.218.190,434
6.345925,10.1.10.11,104.198.218.190,180
6.346492,10.1.10.11,104.198.218.190,441
6.488398,10.1.10.11,104.198.218.190,142
8.553485,10.1.10.11,104.198.218.190,983
8.623223,10.1.10.11,104.198.218.190,983
8.713083,10.1.10.11,104.198.218.190,983
8.792722,10.1.10.11,104.198.218.190,983
8.883951,10.1.10.11,104.198.218.190,983
8.965162,10.1.10.11,104.198.218.190,983
9.052684,10.1.10.11,104.198.218.190,983
9.14355,10.1.10.11,104.198.218.190,983
9.222791,10.1.10.11,104.198.218.190,983
9.312886,10.1.10.11,104.198.218.190,983
9.393652,10.1.10.11,104.198.218.190,983
9.4826,10.1.10.11,104.198.218.190,983
9.562867,10.1.10.11,104.198.218.190,983
9.659185,10.1.10.11,104.198.218.190,983
9.732738,10.1.10.11,104.198.218.190,983
9.823103,10.1.10.11,104.198.218.190,983
9.902911,10.1.10.11,104.198.218.190,983
9.992738,10.1.10.11,104.198.218.190,983
10.073586,10.1.10.11,104.198.218.190,983
10.163489,10.1.10.11,104.198.218.190,983
10.243876,10.1.10.11,104.198.218.190,983
10.333334,10.1.10.11,104.198.218.190,983
10.422751,10.1.10.11,104.198.218.190,983
10.503323,10.1.10.11,104.198.218.190,983
10.592356,10.1.10.11,104.198.218.190,983
10.672807,10.1.10.11,104.198.218.190,983
10.769382,10.1.10.11,104.198.218.190,983
